"ISSN","COLOUR","DOI","URL","FOUND"
"1076-6332","green","10.1016/j.acra.2014.06.014","http://europepmc.org/articles/PMC4234081","europepmc"
"0001-4575","green","10.1016/j.aap.2015.10.016","http://europepmc.org/articles/PMC4682170","europepmc"
"0001-4575","green","10.1016/j.aap.2015.10.017","http://europepmc.org/articles/PMC4682169","europepmc"
"1742-7061","green","10.1016/j.actbio.2015.03.020","http://europepmc.org/articles/PMC4414373","europepmc"
"1742-7061","green","10.1016/j.actbio.2015.06.007","http://europepmc.org/articles/PMC4550494","europepmc"
"1742-7061","green","10.1016/j.actbio.2014.10.034","http://europepmc.org/articles/PMC4298359","europepmc"
"1742-7061","green","10.1016/j.actbio.2013.11.008","http://europepmc.org/articles/PMC3907683","europepmc"
"1742-7061","green","10.1016/j.actbio.2015.05.016","http://europepmc.org/articles/PMC4535318","europepmc"
"1742-7061","green","10.1016/j.actbio.2014.07.001","http://europepmc.org/articles/PMC4199142","europepmc"
"1742-7061","green","10.1016/j.actbio.2014.08.015","http://europepmc.org/articles/PMC4226323","europepmc"
"1742-7061","green","10.1016/j.actbio.2015.10.019","http://europepmc.org/articles/PMC4678952","europepmc"
"1742-7061","green","10.1016/j.actbio.2015.07.034","http://europepmc.org/articles/PMC4570933","europepmc"
"1742-7061","green","10.1016/j.actbio.2015.07.009","http://europepmc.org/articles/PMC4570929","europepmc"
"1742-7061","green","10.1016/j.actbio.2013.12.030","http://europepmc.org/articles/PMC3991416","europepmc"
"1742-7061","green","10.1016/j.actbio.2014.09.001","http://europepmc.org/articles/PMC4226324","europepmc"
"0065-1281","green","10.1016/j.acthis.2015.01.003","http://europepmc.org/articles/PMC4516852","europepmc"
"1359-6454","green","10.1016/j.actamat.2013.12.036","http://europepmc.org/articles/PMC3990421","europepmc"
"1359-6454","green","10.1016/j.actamat.2014.10.006","http://europepmc.org/articles/PMC4308001","europepmc"
"1359-6454","green","10.1016/j.actamat.2015.01.047","http://europepmc.org/articles/PMC4394140","europepmc"
"1359-6454","green","10.1016/j.actamat.2014.06.010","http://europepmc.org/articles/PMC4144822","europepmc"
"2211-3835","green","10.1016/j.apsb.2015.03.010","http://europepmc.org/articles/PMC4629260","europepmc"
"2211-3835","green","10.1016/j.apsb.2015.03.005","http://europepmc.org/articles/PMC4629234","europepmc"
"2211-3835","green","10.1016/j.apsb.2015.03.001","http://europepmc.org/articles/PMC4629232","europepmc"
"2211-3835","green","10.1016/j.apsb.2014.05.001","http://europepmc.org/articles/PMC4629092","europepmc"
"2211-3835","green","10.1016/j.apsb.2014.05.002","http://europepmc.org/articles/PMC4629125","europepmc"
"2211-3835","green","10.1016/j.apsb.2014.06.001","http://europepmc.org/articles/PMC4629093","europepmc"
"2211-3835","green","10.1016/j.apsb.2014.06.010","http://europepmc.org/articles/PMC4629091","europepmc"
"2211-3835","green","10.1016/j.apsb.2014.06.011","http://europepmc.org/articles/PMC4629081","europepmc"
"2211-3835","green","10.1016/j.apsb.2014.06.009","http://europepmc.org/articles/PMC4629082","europepmc"
"2211-3835","green","10.1016/j.apsb.2014.06.005","http://europepmc.org/articles/PMC4629080","europepmc"
"2211-3835","green","10.1016/j.apsb.2014.06.007","http://europepmc.org/articles/PMC4629086","europepmc"
"2211-3835","green","10.1016/j.apsb.2014.06.002","http://europepmc.org/articles/PMC4629077","europepmc"
"2211-3835","green","10.1016/j.apsb.2014.05.003","http://europepmc.org/articles/PMC4629094","europepmc"
"2211-3835","green","10.1016/j.apsb.2014.06.004","http://europepmc.org/articles/PMC4629078","europepmc"
"2211-3835","green","10.1016/j.apsb.2014.06.008","http://europepmc.org/articles/PMC4629087","europepmc"
"2211-3835","green","10.1016/j.apsb.2014.06.003","http://europepmc.org/articles/PMC4629079","europepmc"
"2211-3835","green","10.1016/j.apsb.2014.06.006","http://europepmc.org/articles/PMC4629085","europepmc"
"2211-3835","green","10.1016/j.apsb.2014.06.012","http://europepmc.org/articles/PMC4629089","europepmc"
"2211-3835","green","10.1016/j.apsb.2014.06.013","http://europepmc.org/articles/PMC4629100","europepmc"
"2211-3835","green","10.1016/j.apsb.2014.07.001","http://europepmc.org/articles/PMC4629095","europepmc"
"2211-3835","green","10.1016/j.apsb.2014.07.003","http://europepmc.org/articles/PMC4629084","europepmc"
"2211-3835","green","10.1016/j.apsb.2014.07.002","http://europepmc.org/articles/PMC4629083","europepmc"
"2211-3835","green","10.1016/j.apsb.2014.07.004","http://europepmc.org/articles/PMC4629088","europepmc"
"2211-3835","green","10.1016/j.apsb.2014.08.001","http://europepmc.org/articles/PMC4629096","europepmc"
"2211-3835","green","10.1016/j.apsb.2014.08.002","http://europepmc.org/articles/PMC4629098","europepmc"
"2211-3835","green","10.1016/j.apsb.2014.08.003","http://europepmc.org/articles/PMC4629097","europepmc"
"2211-3835","green","10.1016/j.apsb.2014.09.001","http://europepmc.org/articles/PMC4629105","europepmc"
"2211-3835","green","10.1016/j.apsb.2015.01.012","http://europepmc.org/articles/PMC4629231","europepmc"
"2211-3835","green","10.1016/j.apsb.2015.03.007","http://europepmc.org/articles/PMC4629243","europepmc"
"2211-3835","green","10.1016/j.apsb.2015.02.001","http://europepmc.org/articles/PMC4629230","europepmc"
"2211-3835","green","10.1016/j.apsb.2015.03.013","http://europepmc.org/articles/PMC4629265","europepmc"
"2211-3835","green","10.1016/j.apsb.2015.03.011","http://europepmc.org/articles/PMC4629264","europepmc"
"2211-3835","green","10.1016/j.apsb.2015.03.009","http://europepmc.org/articles/PMC4629261","europepmc"
"2211-3835","green","10.1016/j.apsb.2015.03.008","http://europepmc.org/articles/PMC4629252","europepmc"
"2211-3835","green","10.1016/j.apsb.2015.03.012","http://europepmc.org/articles/PMC4629263","europepmc"
"2211-3835","green","10.1016/j.apsb.2015.01.011","http://europepmc.org/articles/PMC4629229","europepmc"
"2211-3835","green","10.1016/j.apsb.2015.02.003","http://europepmc.org/articles/PMC4629233","europepmc"
"2211-3835","green","10.1016/j.apsb.2015.03.006","http://europepmc.org/articles/PMC4629235","europepmc"
"2211-3835","green","10.1016/j.apsb.2015.03.015","http://europepmc.org/articles/PMC4629266","europepmc"
"2211-3835","green","10.1016/j.apsb.2014.01.004","http://europepmc.org/articles/PMC4590722","europepmc"
"2211-3835","green","10.1016/j.apsb.2014.01.005","http://europepmc.org/articles/PMC4590306","europepmc"
"2211-3835","green","10.1016/j.apsb.2014.01.003","http://europepmc.org/articles/PMC4590299","europepmc"
"2211-3835","green","10.1016/j.apsb.2013.12.010","http://europepmc.org/articles/PMC4590724","europepmc"
"2211-3835","green","10.1016/j.apsb.2013.12.005","http://europepmc.org/articles/PMC4590725","europepmc"
"2211-3835","green","10.1016/j.apsb.2013.12.006","http://europepmc.org/articles/PMC4590303","europepmc"
"2211-3835","green","10.1016/j.apsb.2013.12.012","http://europepmc.org/articles/PMC4590720","europepmc"
"2211-3835","green","10.1016/j.apsb.2013.12.009","http://europepmc.org/articles/PMC4590719","europepmc"
"2211-3835","green","10.1016/j.apsb.2013.12.003","http://europepmc.org/articles/PMC4590717","europepmc"
"2211-3835","green","10.1016/j.apsb.2013.12.011","http://europepmc.org/articles/PMC4590292","europepmc"
"2211-3835","green","10.1016/j.apsb.2013.12.013","http://europepmc.org/articles/PMC4193954","europepmc"
"2211-3835","green","10.1016/j.apsb.2013.12.002","http://europepmc.org/articles/PMC4590291","europepmc"
"2211-3835","green","10.1016/j.apsb.2013.11.002","http://europepmc.org/articles/PMC4590294","europepmc"
"2211-3835","green","10.1016/j.apsb.2013.11.001","http://europepmc.org/articles/PMC4590721","europepmc"
"2211-3835","green","10.1016/j.apsb.2015.05.005","http://europepmc.org/articles/PMC4629407","europepmc"
"2211-3835","green","10.1016/j.apsb.2015.05.008","http://europepmc.org/articles/PMC4629420","europepmc"
"2211-3835","green","10.1016/j.apsb.2015.01.008","http://europepmc.org/articles/PMC4629268","europepmc"
"2211-3835","green","10.1016/j.apsb.2015.02.002","http://europepmc.org/articles/PMC4629276","europepmc"
"2211-3835","green","10.1016/j.apsb.2015.03.014","http://europepmc.org/articles/PMC4629281","europepmc"
"2211-3835","green","10.1016/j.apsb.2015.05.006","http://europepmc.org/articles/PMC4629408","europepmc"
"2211-3835","green","10.1016/j.apsb.2014.12.010","http://europepmc.org/articles/PMC4629267","europepmc"
"2211-3835","green","10.1016/j.apsb.2013.11.003","http://europepmc.org/articles/PMC4590728","europepmc"
"2211-3835","green","10.1016/j.apsb.2014.11.003","http://europepmc.org/articles/PMC4629124","europepmc"
"2211-3835","green","10.1016/j.apsb.2014.08.004","http://europepmc.org/articles/PMC4629101","europepmc"
"2211-3835","green","10.1016/j.apsb.2015.05.002","http://europepmc.org/articles/PMC4629423","europepmc"
"2211-3835","green","10.1016/j.apsb.2015.05.007","http://europepmc.org/articles/PMC4629436","europepmc"
"2211-3835","green","10.1016/j.apsb.2015.04.001","http://europepmc.org/articles/PMC4629422","europepmc"
"2211-3835","green","10.1016/j.apsb.2015.07.004","http://europepmc.org/articles/PMC4629445","europepmc"
"2211-3835","green","10.1016/j.apsb.2015.07.002","http://europepmc.org/articles/PMC4629444","europepmc"
"2211-3835","green","10.1016/j.apsb.2015.06.003","http://europepmc.org/articles/PMC4629438","europepmc"
"2211-3835","green","10.1016/j.apsb.2015.06.004","http://europepmc.org/articles/PMC4629439","europepmc"
"2211-3835","green","10.1016/j.apsb.2015.06.005","http://europepmc.org/articles/PMC4629440","europepmc"
"2211-3835","green","10.1016/j.apsb.2015.07.003","http://europepmc.org/articles/PMC4629443","europepmc"
"2211-3835","green","10.1016/j.apsb.2015.07.001","http://europepmc.org/articles/PMC4629442","europepmc"
"2211-3835","green","10.1016/j.apsb.2015.05.009","http://europepmc.org/articles/PMC4629437","europepmc"
"2211-3835","green","10.1016/j.apsb.2015.07.006","http://europepmc.org/articles/PMC4629447","europepmc"
"2211-3835","green","10.1016/j.apsb.2015.07.005","http://europepmc.org/articles/PMC4629446","europepmc"
"2211-3835","green","10.1016/j.apsb.2015.05.003","http://europepmc.org/articles/PMC4629282","europepmc"
"2211-3835","green","10.1016/j.apsb.2015.01.010","http://europepmc.org/articles/PMC4629269","europepmc"
"2211-3835","green","10.1016/j.apsb.2015.02.004","http://europepmc.org/articles/PMC4629277","europepmc"
"2211-3835","green","10.1016/j.apsb.2015.07.008","http://europepmc.org/articles/PMC4675810","europepmc"
"2211-3835","green","10.1016/j.apsb.2015.08.001","http://europepmc.org/articles/PMC4675809","europepmc"
"2211-3835","green","10.1016/j.apsb.2015.07.007","http://europepmc.org/articles/PMC4675808","europepmc"
"2211-3835","green","10.1016/j.apsb.2015.09.006","http://europepmc.org/articles/PMC4675819","europepmc"
"2211-3835","green","10.1016/j.apsb.2015.05.004","http://europepmc.org/articles/PMC4675807","europepmc"
"2211-3835","green","10.1016/j.apsb.2015.09.001","http://europepmc.org/articles/PMC4675811","europepmc"
"2211-3835","green","10.1016/j.apsb.2015.07.010","http://europepmc.org/articles/PMC4675812","europepmc"
"2211-3835","green","10.1016/j.apsb.2015.09.003","http://europepmc.org/articles/PMC4675816","europepmc"
"2211-3835","green","10.1016/j.apsb.2015.09.005","http://europepmc.org/articles/PMC4675814","europepmc"
"2211-3835","green","10.1016/j.apsb.2015.09.002","http://europepmc.org/articles/PMC4675815","europepmc"
"2211-3835","green","10.1016/j.apsb.2015.09.004","http://europepmc.org/articles/PMC4675821","europepmc"
"2211-3835","green","10.1016/j.apsb.2014.01.002","http://europepmc.org/articles/PMC4590300","europepmc"
"2211-3835","green","10.1016/j.apsb.2014.01.001","http://europepmc.org/articles/PMC4590302","europepmc"
"2211-3835","green","10.1016/j.apsb.2014.02.001","http://europepmc.org/articles/PMC4590726","europepmc"
"2211-3835","green","10.1016/j.apsb.2014.02.004","http://europepmc.org/articles/PMC4590723","europepmc"
"2211-3835","green","10.1016/j.apsb.2013.12.008","http://europepmc.org/articles/PMC4590298","europepmc"
"2211-3835","green","10.1016/j.apsb.2014.02.005","http://europepmc.org/articles/PMC4590297","europepmc"
"2211-3835","green","10.1016/j.apsb.2014.02.007","http://europepmc.org/articles/PMC4590296","europepmc"
"2211-3835","green","10.1016/j.apsb.2014.02.002","http://europepmc.org/articles/PMC4590727","europepmc"
"2211-3835","green","10.1016/j.apsb.2013.12.001","http://europepmc.org/articles/PMC4590304","europepmc"
"2211-3835","green","10.1016/j.apsb.2013.12.007","http://europepmc.org/articles/PMC4590293","europepmc"
"2211-3835","green","10.1016/j.apsb.2014.02.006","http://europepmc.org/articles/PMC4629065","europepmc"
"2211-3835","green","10.1016/j.apsb.2014.02.003","http://europepmc.org/articles/PMC4629066","europepmc"
"2211-3835","green","10.1016/j.apsb.2014.03.001","http://europepmc.org/articles/PMC4629063","europepmc"
"2211-3835","green","10.1016/j.apsb.2014.03.002","http://europepmc.org/articles/PMC4629064","europepmc"
"2211-3835","green","10.1016/j.apsb.2014.04.001","http://europepmc.org/articles/PMC4629068","europepmc"
"2211-3835","green","10.1016/j.apsb.2014.04.002","http://europepmc.org/articles/PMC4629076","europepmc"
