"ISSN","COLOUR","DOI","AFFILIATIONS"
"2212-6716","green","10.1016/j.aasri.2014.05.016",""
"2212-6716","green","10.1016/j.aasri.2014.05.018",""
"2212-6716","green","10.1016/j.aasri.2014.05.010",""
"2212-6716","green","10.1016/j.aasri.2014.05.017",""
"2212-6716","green","10.1016/j.aasri.2014.05.003",""
"2212-6716","green","10.1016/j.aasri.2014.05.011",""
"2212-6716","green","10.1016/j.aasri.2014.05.012",""
"2212-6716","green","10.1016/j.aasri.2014.05.004",""
"2212-6716","green","10.1016/j.aasri.2014.05.013",""
"2212-6716","green","10.1016/j.aasri.2014.05.002",""
"2212-6716","green","10.1016/j.aasri.2014.05.014",""
"2212-6716","green","10.1016/j.aasri.2014.05.005",""
"2212-6716","green","10.1016/j.aasri.2014.05.009",""
"2212-6716","green","10.1016/j.aasri.2014.05.001",""
"2212-6716","green","10.1016/j.aasri.2014.05.015",""
"2212-6716","green","10.1016/j.aasri.2014.08.016",""
"2212-6716","green","10.1016/j.aasri.2014.08.002",""
"2212-6716","green","10.1016/j.aasri.2014.08.009",""
"2212-6716","green","10.1016/j.aasri.2014.08.006",""
"2212-6716","green","10.1016/j.aasri.2014.08.010",""
"2212-6716","green","10.1016/j.aasri.2014.08.020",""
"2212-6716","green","10.1016/j.aasri.2014.08.007",""
"2212-6716","green","10.1016/j.aasri.2014.08.004",""
"2212-6716","green","10.1016/j.aasri.2014.08.005",""
"2212-6716","green","10.1016/j.aasri.2014.08.011",""
"2212-6716","green","10.1016/j.aasri.2014.08.012",""
"2212-6716","green","10.1016/j.aasri.2014.08.013",""
"2212-6716","green","10.1016/j.aasri.2014.08.019",""
"2212-6716","green","10.1016/j.aasri.2014.08.008",""
"2212-6716","green","10.1016/j.aasri.2014.09.001",""
"2212-6716","green","10.1016/j.aasri.2014.09.018",""
"2212-6716","green","10.1016/j.aasri.2014.09.019",""
"2212-6716","green","10.1016/j.aasri.2014.09.008",""
"2212-6716","green","10.1016/j.aasri.2014.09.009",""
"2212-6716","green","10.1016/j.aasri.2014.09.010",""
"2212-6716","green","10.1016/j.aasri.2014.05.006",""
"2212-6716","green","10.1016/j.aasri.2014.05.007",""
"2212-6716","green","10.1016/j.aasri.2014.05.008",""
"2212-6716","green","10.1016/j.aasri.2014.09.022",""
"2212-6716","green","10.1016/j.aasri.2014.09.024",""
"2212-6716","green","10.1016/j.aasri.2014.09.012",""
"2212-6716","green","10.1016/j.aasri.2014.09.013",""
"2212-6716","green","10.1016/j.aasri.2014.09.023",""
"2212-6716","green","10.1016/j.aasri.2014.09.025",""
"2212-6716","green","10.1016/j.aasri.2014.09.014",""
"2212-6716","green","10.1016/j.aasri.2014.09.003",""
"2212-6716","green","10.1016/j.aasri.2014.09.004",""
"2212-6716","green","10.1016/j.aasri.2014.09.015",""
"2212-6716","green","10.1016/j.aasri.2014.09.011",""
"2212-6716","green","10.1016/j.aasri.2014.09.020",""
"2212-6716","green","10.1016/j.aasri.2014.09.002",""
"2212-6716","green","10.1016/j.aasri.2014.09.016",""
"2212-6716","green","10.1016/j.aasri.2014.09.021",""
"2212-6716","green","10.1016/j.aasri.2014.09.006",""
"2212-6716","green","10.1016/j.aasri.2014.09.005",""
"2212-6716","green","10.1016/j.aasri.2014.09.007",""
"2212-6716","green","10.1016/j.aasri.2014.09.017",""
"2212-6716","green","10.1016/j.aasri.2014.05.019",""
"2212-6716","green","10.1016/j.aasri.2014.05.036",""
"2212-6716","green","10.1016/j.aasri.2014.05.037",""
"2212-6716","green","10.1016/j.aasri.2014.05.025",""
"2212-6716","green","10.1016/j.aasri.2014.05.038",""
"2212-6716","green","10.1016/j.aasri.2014.05.039",""
"2212-6716","green","10.1016/j.aasri.2014.05.026",""
"2212-6716","green","10.1016/j.aasri.2014.05.035",""
"2212-6716","green","10.1016/j.aasri.2014.05.021",""
"2212-6716","green","10.1016/j.aasri.2014.05.022",""
"2212-6716","green","10.1016/j.aasri.2014.05.033",""
"2212-6716","green","10.1016/j.aasri.2014.05.027",""
"2212-6716","green","10.1016/j.aasri.2014.05.034",""
"2212-6716","green","10.1016/j.aasri.2014.05.028",""
"2212-6716","green","10.1016/j.aasri.2014.05.029",""
"2212-6716","green","10.1016/j.aasri.2014.05.023",""
